,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,FTR
295,60,50,60,60,80,35,55,50,1729,1729,16,1229269,8472,8455,1,3,14.0,11.0,10.0,5.0,4.75,3.5,1.8,1,1,0,2,0,0,1,0,0,2,1,0,2,2,1,0,0
296,47,52,54,56,60,48,52,44,1729,1729,17,1229273,8455,8466,2,2,19.0,7.0,10.0,3.0,1.25,6.5,15.0,1,0,4,0,0,0,1,1,0,2,2,1,2,2,1,0,1
297,63,59,52,55,34,39,41,54,1729,1729,17,1229274,8650,10252,1,3,26.0,9.0,17.0,6.0,1.36,4.75,9.0,2,1,2,1,0,0,1,1,0,2,2,1,2,2,1,0,0
298,60,61,56,44,58,41,38,53,1729,1729,17,1229275,10260,8472,3,1,15.0,13.0,6.0,10.0,1.2,6.5,15.0,3,1,1,1,0,0,1,1,0,2,2,1,2,2,1,0,2
299,59,30,28,44,46,51,44,52,1729,1729,17,1229280,9798,9825,2,5,7.0,25.0,5.0,17.0,5.5,4.0,1.62,1,1,0,2,0,1,2,1,2,2,2,0,2,2,1,0,0
300,70,59,65,70,50,30,70,30,1729,1729,18,1229284,8455,10252,8,0,24.0,7.0,18.0,4.0,1.33,5.5,8.5,1,2,4,1,1,0,1,1,0,1,2,0,0,1,0,0,2
301,50,55,45,55,40,45,35,50,1729,1729,18,1229285,8650,9879,4,0,22.0,7.0,12.0,6.0,1.53,4.0,6.5,2,1,1,2,0,0,1,1,0,2,2,1,2,2,1,0,2
302,49,49,46,58,56,49,51,45,1729,1729,18,1229286,8456,9798,1,0,17.0,6.0,10.0,1.0,1.14,8.0,19.0,3,0,1,0,0,0,1,1,0,2,2,1,2,2,1,0,2
303,57,66,56,31,72,47,52,49,1729,1729,18,1229288,8466,8472,0,1,13.0,10.0,7.0,6.0,2.0,3.5,3.75,1,1,0,1,0,0,1,1,0,0,1,1,2,2,1,0,0
304,47,40,42,56,51,62,64,44,1729,1729,19,1229299,9879,8466,1,1,10.0,7.0,2.0,3.0,1.85,3.6,4.2,1,0,2,1,0,1,1,1,0,2,2,0,2,2,1,0,1
305,59,29,38,36,24,48,47,54,1729,1729,19,1229305,8472,8456,1,0,12.0,19.0,6.0,12.0,6.5,4.0,1.53,1,2,0,2,0,1,2,0,0,2,0,0,2,2,1,0,2
