,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,FTR,FTResult
93,59,30,28,44,46,51,44,52,1729,1729,4,658603,10260,9825,2,1,10.0,9.0,4.0,3.0,2.2,3.3,3.5,4,2,0,2,0,1,2,1,2,2,2,0,2,2,1,0,2,1
94,60,70,70,70,50,40,35,40,1729,1729,4,658605,10252,9879,2,0,9.0,6.0,4.0,3.0,1.73,3.6,5.25,1,0,4,2,0,0,0,1,1,1,2,1,2,2,1,0,2,1
95,70,60,70,65,75,65,65,50,1729,1729,4,658610,8462,8456,0,1,11.0,12.0,6.0,8.0,6.5,3.8,1.57,1,3,1,2,1,0,1,1,1,2,1,0,2,2,1,0,0,-1
96,48,44,56,58,48,52,50,58,1729,1729,4,658612,8455,8191,3,0,27.0,3.0,17.0,0.0,1.14,8.0,21.0,4,0,0,0,0,0,1,1,0,2,2,1,2,2,1,0,2,1
97,54,55,56,59,48,48,50,58,1729,1729,5,658613,8650,8191,4,0,27.0,6.0,16.0,3.0,1.2,6.5,15.0,2,0,1,0,0,0,1,1,0,2,2,1,2,2,1,0,2,1
98,59,26,28,55,64,51,44,52,1729,1729,5,658616,8456,9825,4,2,10.0,19.0,6.0,9.0,2.88,3.25,2.5,2,1,1,2,0,1,2,1,2,2,2,0,2,2,1,0,2,1
99,43,40,39,33,63,52,58,59,1729,1729,5,658618,9879,8668,2,1,14.0,6.0,8.0,6.0,2.6,3.2,2.8,2,1,0,2,0,1,1,1,0,0,2,1,2,2,1,0,2,1
100,70,60,55,70,70,45,55,45,1729,1729,6,658623,10260,8456,4,3,21.0,10.0,11.0,6.0,1.57,4.0,6.0,4,3,0,2,1,0,1,1,0,1,1,1,2,2,1,0,2,1
101,36,48,48,66,51,36,44,48,1729,1729,6,658626,10252,8462,2,0,7.0,17.0,5.0,12.0,1.4,4.2,10.0,2,1,3,0,0,0,1,1,0,2,2,1,2,2,1,0,2,1
102,67,62,44,72,59,47,53,60,1729,1729,6,658631,8191,8472,3,1,10.0,8.0,3.0,5.0,2.88,3.25,2.5,1,0,0,2,1,0,1,1,0,1,2,1,2,2,1,0,2,1
103,58,62,48,59,32,41,44,59,1729,1729,7,658674,8462,8668,0,1,16.0,12.0,12.0,8.0,4.2,3.4,1.91,0,0,1,2,0,0,1,1,0,2,0,1,2,2,1,0,0,-1
104,59,26,28,55,64,51,44,52,1729,1729,7,658676,9879,9825,0,1,18.0,14.0,12.0,4.0,6.5,4.0,1.53,2,1,0,1,0,1,2,1,2,2,2,0,2,2,1,0,0,-1
105,43,51,59,50,55,47,45,49,1729,1729,8,658679,10260,8472,2,2,17.0,4.0,9.0,3.0,1.2,6.5,15.0,4,0,0,2,0,1,1,1,0,2,2,1,2,2,1,0,1,0
106,50,35,50,60,70,40,60,40,1729,1729,8,658683,8455,8650,2,0,12.0,12.0,8.0,3.0,2.1,3.3,3.6,4,2,0,1,0,0,1,1,0,2,1,1,2,2,1,0,2,1
107,70,60,70,65,75,65,65,50,1729,1729,8,658687,10252,8456,1,1,12.0,9.0,6.0,7.0,2.75,3.25,2.63,3,3,2,1,1,0,1,1,1,2,1,0,2,2,1,0,1,0
108,60,45,55,45,45,60,62,46,1729,1729,9,658694,10252,8455,2,1,7.0,21.0,5.0,13.0,4.5,3.6,1.8,2,4,3,0,0,0,1,1,0,2,2,1,2,2,1,0,2,1
109,39,44,42,34,54,59,52,61,1729,1729,9,658695,8472,8650,1,0,13.0,15.0,7.0,6.0,4.2,3.4,1.91,1,1,2,1,0,0,1,1,0,2,2,1,2,2,1,0,2,1
110,59,26,28,55,64,51,44,52,1729,1729,1,839801,8650,9825,1,1,7.0,14.0,4.0,7.0,2.5,3.25,2.88,3,1,1,1,0,1,2,1,2,2,2,0,2,2,1,0,1,0
111,67,36,41,34,44,39,41,46,1729,1729,11,839916,8650,8455,2,0,9.0,11.0,7.0,7.0,3.8,3.4,2.0,2,4,2,0,1,1,1,1,0,2,2,1,2,2,1,0,2,1
112,70,59,65,70,50,30,70,30,1729,1729,11,839919,9879,10252,1,1,14.0,15.0,10.0,8.0,2.2,3.25,3.4,2,3,0,0,1,0,1,1,0,1,2,0,0,1,0,0,1,0
113,60,50,55,70,55,55,65,60,1729,1729,11,839923,8483,8668,2,2,11.0,20.0,8.0,14.0,4.5,3.6,1.8,0,1,0,1,0,0,1,1,0,1,2,1,2,2,1,0,1,0
114,45,52,60,58,58,49,52,54,1729,1729,12,839929,10252,8483,3,2,19.0,12.0,12.0,6.0,1.62,3.75,6.0,3,0,2,0,0,0,1,1,0,2,2,1,2,2,1,0,2,1
115,46,38,46,68,37,49,49,56,1729,1729,12,839932,8456,10260,0,0,6.0,7.0,4.0,4.0,2.63,3.25,2.75,3,3,1,1,0,0,1,1,0,1,2,1,2,2,1,0,1,0
116,52,56,58,41,54,29,28,39,1729,1729,12,839933,8455,9879,1,0,19.0,5.0,10.0,3.0,1.2,6.5,15.0,4,0,0,1,0,1,1,1,0,2,2,1,0,0,1,0,2,1
117,38,44,49,44,40,54,53,56,1729,1729,13,839936,10252,10260,2,2,12.0,16.0,6.0,10.0,4.5,3.6,1.8,4,2,1,2,0,1,1,1,0,2,2,1,2,2,1,0,1,0
118,66,30,30,45,35,30,40,50,1729,1729,13,839937,8668,9825,1,2,14.0,13.0,7.0,8.0,3.4,3.3,2.2,5,1,0,1,0,0,2,0,2,2,2,0,0,2,1,0,0,-1
