,HomeTeam,AwayTeam
470,sportinglokeren,rscanderlecht
471,kvmechelen,svzulte-waregem
472,ksvroeselare,kvcwesterlo
473,beerschotac,clubbruggekv
474,clubbruggekv,kvkortrijk
475,standarddeliege,sportingcharleroi
476,sint-truidensevv,ksvroeselare
477,svzulte-waregem,rscanderlecht
478,kaagent,sportinglokeren
479,kvcwesterlo,krcgenk
480,beerschotac,kvmechelen
481,rscanderlecht,standarddeliege
482,krcgenk,beerschotac
483,ksvcerclebrugge,clubbruggekv
484,kvkortrijk,kaagent
485,kvmechelen,sint-truidensevv
486,ksvroeselare,sportingcharleroi
487,kvcwesterlo,svzulte-waregem
488,clubbruggekv,krcgenk
489,standarddeliege,kvmechelen
490,sint-truidensevv,rscanderlecht
491,svzulte-waregem,kvkortrijk
492,sportingcharleroi,ksvcerclebrugge
493,kaagent,ksvroeselare
494,beerschotac,sportinglokeren
495,rscanderlecht,kaagent
496,krcgenk,sportingcharleroi
497,ksvcerclebrugge,beerschotac
498,sportinglokeren,standarddeliege
499,kvkortrijk,sint-truidensevv
500,kvmechelen,ksvroeselare
501,kvcwesterlo,clubbruggekv
502,clubbruggekv,svzulte-waregem
503,standarddeliege,ksvcerclebrugge
504,sint-truidensevv,krcgenk
505,sportingcharleroi,kvmechelen
506,kaagent,kvcwesterlo
507,ksvroeselare,sportinglokeren
508,beerschotac,kvkortrijk
509,rscanderlecht,beerschotac
510,krcgenk,ksvroeselare
511,svzulte-waregem,kaagent
512,ksvcerclebrugge,kvmechelen
513,sportinglokeren,sportingcharleroi
514,kvkortrijk,standarddeliege
515,kvcwesterlo,sint-truidensevv
516,sint-truidensevv,liersesk
517,kvkortrijk,clubbruggekv
518,kvmechelen,sportinglokeren
519,kvcwesterlo,kaagent
520,rscanderlecht,kaseupen
521,standarddeliege,svzulte-waregem
522,ksvcerclebrugge,sportingcharleroi
523,krcgenk,beerschotac
524,clubbruggekv,kaagent
525,standarddeliege,rscanderlecht
526,sint-truidensevv,kvcwesterlo
527,svzulte-waregem,sportingcharleroi
528,sportinglokeren,beerschotac
529,kvkortrijk,kaseupen
530,kvmechelen,krcgenk
531,liersesk,ksvcerclebrugge
532,kaagent,kvkortrijk
533,krcgenk,standarddeliege
534,beerschotac,liersesk
535,svzulte-waregem,clubbruggekv
