,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,date,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,home_team_goal,away_team_goal
398,-14,-16,-5,-7,-2,-10,-14,-13,0,0,1,1,0,0,0,0,0,-2,-2,0,0,2,0
399,-7,17,4,18,6,2,18,-10,0,0,-1,-1,1,0,0,0,1,0,0,0,0,1,1
400,17,21,6,-13,-3,-10,-8,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
401,6,-30,-26,-1,16,3,7,-2,0,1,0,1,0,-1,0,-1,0,0,0,0,0,2,1
402,-9,-8,0,-21,4,23,28,20,0,0,0,0,0,0,-2,0,0,2,2,0,0,4,1
403,-5,20,30,20,10,15,25,5,0,0,0,0,1,1,0,-1,0,0,0,0,0,6,3
404,-4,-30,-26,-25,-35,0,-20,15,0,-1,0,1,0,2,1,1,0,0,0,0,0,0,0
405,-20,-5,-25,-10,-35,-20,-30,0,0,-1,0,0,0,-1,0,1,1,0,0,0,0,2,4
406,24,12,-25,-6,9,-1,23,-1,0,1,0,0,0,-1,0,0,0,0,2,0,0,0,1
407,1,-4,-8,28,-40,-6,-8,10,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,1
408,-12,-3,-2,8,1,-9,-4,-8,0,-1,0,0,0,2,0,0,0,0,0,0,0,2,1
409,1,-9,7,0,-2,-12,-11,-15,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
410,8,13,7,21,8,12,22,12,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,1
411,2,9,-29,-28,1,6,33,1,0,0,0,0,0,-1,0,0,-1,0,2,0,0,1,0
412,24,15,10,21,-20,-20,-11,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
413,-7,30,30,-14,-10,-22,-16,-13,0,0,0,-1,0,-2,0,0,1,-2,-2,0,0,1,3
414,-29,8,8,10,-4,15,12,10,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
415,-3,-18,-7,-16,-8,-2,-12,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
416,-13,7,-1,11,15,-12,-10,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
417,-20,-3,-1,2,17,12,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
418,4,29,35,25,15,0,30,-20,0,1,0,-1,1,-2,-1,0,0,0,-1,-1,0,1,2
419,0,0,0,0,-5,5,-35,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
420,25,-15,-5,-10,25,5,5,-5,0,1,0,0,-1,0,0,0,-1,0,0,0,0,2,0
421,14,-9,9,-15,-10,20,12,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
