,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,home_team_goal,away_team_goal
532,6.0,14.0,11.0,16.0,1.0,14.0,-5.0,14.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,2.0
533,3.0,15.0,0.0,-7.0,-1.0,3.0,-5.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
534,19.0,11.0,2.0,2.0,-13.0,-16.0,-12.0,-33.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-1.0,0.0,1.0,2.0
535,31.0,-7.0,18.0,-17.0,9.0,4.0,-8.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
536,-7.0,5.0,-12.0,-10.0,8.0,38.0,30.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,4.0,0.0
537,-19.0,-8.0,14.0,13.0,4.0,22.0,1.0,5.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0
538,10.0,3.0,1.0,9.0,15.0,16.0,-8.0,15.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
539,4.0,-24.0,12.0,-10.0,-4.0,2.0,-9.0,3.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
540,7.0,-10.0,10.0,8.0,-1.0,-27.0,-26.0,-20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,2.0,1.0
541,12.0,0.0,-28.0,0.0,2.0,-25.0,2.0,-18.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,2.0
542,-18.0,6.0,-5.0,-18.0,8.0,1.0,13.0,3.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
543,5.0,5.0,5.0,-3.0,-10.0,3.0,9.0,-4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,5.0,5.0,5.0,13.0,-14.0,-24.0,-20.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0
545,-15.0,-6.0,13.0,6.0,-5.0,5.0,-11.0,13.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
546,3.0,-10.0,0.0,7.0,19.0,24.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,3.0,1.0
547,8.0,5.0,0.0,-9.0,6.0,3.0,-13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
548,12.0,4.0,10.0,-15.0,20.0,-2.0,10.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
549,-18.0,-15.0,-10.0,3.0,-6.0,-2.0,-6.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
550,17.0,6.0,4.0,4.0,8.0,-8.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
551,-23.0,-19.0,15.0,-23.0,13.0,6.0,13.0,8.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
552,-8.0,-23.0,13.0,-9.0,-7.0,12.0,-16.0,-5.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,2.0
553,1.0,5.0,5.0,-5.0,2.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
554,-21.0,-4.0,-23.0,14.0,3.0,-14.0,-5.0,-13.0,2.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
555,-13.0,-27.0,-3.0,13.0,0.0,-18.0,-10.0,-8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,3.0,1.0
556,-11.0,2.0,7.0,21.0,-6.0,-2.0,-13.0,-8.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
557,0.0,-12.0,15.0,-16.0,13.0,22.0,5.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,2.0,1.0
558,16.0,16.0,3.0,13.0,9.0,16.0,3.0,16.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
559,-3.0,17.0,17.0,-23.0,-7.0,9.0,-11.0,-20.0,0.0,-1.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,0.0
560,19.0,11.0,2.0,2.0,-13.0,-16.0,-12.0,-33.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-1.0,0.0,6.0,1.0
561,22.0,21.0,2.0,-12.0,-6.0,5.0,15.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0
562,19.0,-12.0,33.0,-17.0,10.0,24.0,5.0,18.0,-2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0
563,10.0,28.0,-14.0,18.0,7.0,12.0,2.0,11.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0
564,-10.0,3.0,10.0,5.0,-15.0,-13.0,-12.0,-11.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,2.0,1.0
565,4.0,14.0,5.0,-14.0,-2.0,-5.0,4.0,-15.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
566,0.0,0.0,-7.0,-2.0,22.0,-5.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
567,17.0,18.0,9.0,-1.0,11.0,-4.0,-2.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
568,3.0,-7.0,2.0,8.0,-8.0,9.0,-3.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,-10.0,-7.0,-10.0,9.0,-6.0,5.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
570,-23.0,-9.0,-5.0,-33.0,18.0,11.0,18.0,8.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,2.0,0.0
571,-14.0,-3.0,-2.0,22.0,-5.0,23.0,-10.0,-27.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
572,3.0,4.0,-13.0,-7.0,2.0,-15.0,-4.0,-15.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573,14.0,12.0,-24.0,-5.0,-15.0,-25.0,-18.0,-13.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0
574,-24.0,-6.0,-11.0,21.0,-22.0,-2.0,-13.0,-3.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
575,-5.0,13.0,-15.0,-21.0,8.0,22.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,2.0,1.0
576,17.0,-3.0,13.0,-18.0,7.0,11.0,-1.0,0.0,1.0,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,3.0,2.0
577,7.0,-4.0,3.0,22.0,-13.0,-25.0,-22.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,2.0,2.0
578,4.0,12.0,-15.0,-7.0,-5.0,-15.0,10.0,-18.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
579,10.0,5.0,3.0,-6.0,1.0,15.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,5.0,0.0
580,-4.0,15.0,5.0,-8.0,-4.0,3.0,4.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
581,-11.0,-9.0,-3.0,12.0,0.0,-16.0,-15.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
582,6.0,-14.0,15.0,0.0,3.0,1.0,-3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
583,-4.0,6.0,2.0,-21.0,3.0,5.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
584,-16.0,3.0,-17.0,11.0,-8.0,-11.0,3.0,-5.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
585,5.0,5.0,5.0,13.0,-14.0,-24.0,-20.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0
586,3.0,-7.0,-18.0,-7.0,-23.0,-1.0,-3.0,-8.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,1.0
587,5.0,-25.0,30.0,5.0,5.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
588,22.0,6.0,11.0,-15.0,3.0,0.0,1.0,-6.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
589,11.0,-2.0,5.0,-18.0,-10.0,25.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,2.0,3.0
590,2.0,17.0,19.0,-13.0,16.0,-3.0,1.0,-4.0,0.0,-1.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
591,19.0,23.0,-14.0,2.0,1.0,-32.0,-1.0,-5.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,1.0
592,-14.0,-3.0,2.0,7.0,2.0,-5.0,-14.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
